taxonid,assessmentid,countryid,translations
10069,496653,CS,"OLD-01"
132722,3432379,CS,"OLD-01"
133135,3593982,CS,"OLD-01"
133142,3599415,CS,"OLD-01"
133511,3780758,CS,"OLD-01"
135567,4147805,CS,"OLD-01"
135579,4151000,CS,"OLD-01"
135681,4178805,CS,"OLD-01"
135714,4189144,CS,"OLD-01"
135717,4190846,CS,"OLD-01"
154729,4620083,CS,"OLD-01"
155030,723112,CS,"OLD-01"
155096,4701918,CS,"OLD-01"
155213,4746712,CS,"OLD-01"
155282,4765940,CS,"OLD-01"
155901,737435,CS,"OLD-01"
156939,742571,CS,"OLD-01"
157007,742712,CS,"OLD-01"
15873,5274582,CS,"OLD-01"
15873,788086,CS,"OLD-01"
15873,788483,CS,"OLD-01"
170159,1284207,CS,"OLD-01"
170159,6726630,CS,"OLD-01"
170160,1284573,CS,"OLD-01"
170186,1289197,CS,"OLD-01"
170186,6728287,CS,"OLD-01"
170197,1291218,CS,"OLD-01"
170197,6728672,CS,"OLD-01"
170224,1296530,CS,"OLD-01"
170224,6729681,CS,"OLD-01"
170229,1297432,CS,"OLD-01"
170229,6730075,CS,"OLD-01"
170232,1298055,CS,"OLD-01"
170244,1300216,CS,"OLD-01"
170244,6731120,CS,"OLD-01"
170245,1300534,CS,"OLD-01"
170251,1301787,CS,"OLD-01"
170253,1302459,CS,"OLD-01"
170253,6732303,CS,"OLD-01"
170258,1303321,CS,"OLD-01"
170258,6732638,CS,"OLD-01"
170261,1304171,CS,"OLD-01"
170262,1304486,CS,"OLD-01"
170280,1307759,CS,"OLD-01"
170283,6736201,CS,"OLD-01"
170310,6740947,CS,"OLD-01"
170345,6760028,CS,"OLD-01"
170354,6764736,CS,"OLD-01"
170357,6768014,CS,"OLD-01"
181729,7715621,TVL-OO,"OLD-02"
182167,7821354,TVL-OO,"OLD-02"
182433,7883608,TVL-OO,"OLD-02"
183002,8022240,TVL-OO,"OLD-02"
183155,8055592,CPP-OO,"CPP-EC,TVL-NW,CPP-NC,CPP-WC"
183776,8175251,CS,"OLD-01"
185128,8361210,CS,"OLD-01"
185146,8362225,CS,"OLD-01"
185155,8362498,CS,"OLD-01"
185156,8362799,CS,"OLD-01"
185165,8363111,CS,"OLD-01"
185175,8364051,CS,"OLD-01"
185182,1777936,CS,"OLD-01"
185185,8365179,CS,"OLD-01"
185193,8365527,CS,"OLD-01"
186106,8501267,CS,"OLD-01"
187397,8524868,CS,"OLD-01"
187418,8530118,CS,"OLD-01"
187418,8530515,CS,"OLD-01"
187475,8544986,CS,"OLD-01"
187475,8545291,CS,"OLD-01"
187492,8550406,CS,"OLD-01"
187541,8562713,CS,"OLD-01"
187541,8563012,CS,"OLD-01"
187573,8572341,CS,"OLD-01"
187653,8591243,CS,"OLD-01"
187653,8591565,CS,"OLD-01"
187654,8591882,CS,"OLD-01"
187678,8598350,CS,"OLD-01"
187696,8603436,CS,"OLD-01"
187696,8604111,CS,"OLD-01"
187714,8609545,CS,"OLD-01"
187748,8619852,CS,"OLD-01"
187748,8620252,CS,"OLD-01"
187751,8620934,CS,"OLD-01"
187751,8621360,CS,"OLD-01"
187752,8621739,CS,"OLD-01"
187752,8622170,CS,"OLD-01"
187775,8627272,CS,"OLD-01"
187805,8633735,CS,"OLD-01"
187805,8634061,CS,"OLD-01"
190090,8776203,CS,"OLD-01"
190100,8777430,CS,"OLD-01"
190324,8786915,CS,"OLD-01"
190346,8788822,CS,"OLD-01"
190422,8793012,CS,"OLD-01"
190432,8795980,CS,"OLD-01"
190446,8796844,CS,"OLD-01"
190464,8799293,CS,"OLD-01"
190692,8807107,REU-OO,"OLD-03"
190694,8807532,REU-OO,"OLD-03"
190697,8808363,REU-OO,"OLD-03"
190700,8809419,REU-OO,"OLD-03"
190704,8810360,REU-OO,"OLD-03"
190705,8810726,REU-OO,"OLD-03"
190706,8811068,REU-OO,"OLD-03"
190710,8812518,CS,"OLD-01"
190715,8813898,REU-OO,"OLD-03"
190722,8815919,REU-OO,"OLD-03"
190731,8818473,REU-OO,"OLD-03"
190733,8819407,REU-OO,"OLD-03"
190736,8820183,REU-OO,"OLD-03"
190737,8820735,REU-OO,"OLD-03"
190740,8821607,REU-OO,"OLD-03"
190742,8822310,REU-OO,"OLD-03"
190755,8825535,REU-OO,"OLD-03"
190756,8826069,REU-OO,"OLD-03"
190766,8828446,REU-OO,"OLD-03"
194271,2307723,FRA-CI,"OLD-04"
194274,2308255,FRA-CI,"OLD-04"
194280,2309186,FRA-CI,"OLD-04"
194463,2337839,FRA-CI,"OLD-04"
194472,2338986,FRA-CI,"OLD-04"
